instruction,reference
Paraphrase this question: How do I think like Sherlock Holmes?,How can I get really good at deducing things like Sherlock Holmes?
Paraphrase this question: What is the toughest question ever asked in a interview?,What is best puzzling question ever asked in an interview?
Paraphrase this question: Can I join the military if I have terrible memory and recall?,Can I be in the army if I have a terrible memory / recall?
Paraphrase this question: What would happen if we had no sun light for one week?,What would happen if the sun quits for a week?
Paraphrase this question: Why do certain people show up on my Instagram search?,Why do people I don't follow on Instagram show up in the search bar when I type one letter?
Paraphrase this question: What are the best ways to lose weight? What is the best diet plan?,What would be a realistic plan to lose weight?
Paraphrase this question: What is your review of the 2016 MacBook Pro?,Should I get the new Macbook Pro?
Paraphrase this question: How can I improve my studying?,How can I improve my study efficiency?
Paraphrase this question: Does true love exist?,Is really true love exist?
Paraphrase this question: How do you know you are in love with someone?,How do you know if you're in love with someone and might only be denying the fact to yourself?
Paraphrase this question: What are the coolest and amazing inventions of the 21st century?,What are the coolest inventions of the 21st century that people don't know about?
Paraphrase this question: How do I overcome my anger problem?,How do I handle my anger issues?
Paraphrase this question: How does concentric contractions differ from eccentric contractions?,How do eccentric and concentric contractions compare and contrast?
Paraphrase this question: Someone hacked my Instagram account using some type of software. How do I block them?,How do I hack Instagram account? Someone is using my identity and posting inappropriate post?
Paraphrase this question: How do astronauts on the ISS get sexual relief?,Do astronauts masturbate in space or what do they do when they get aroused?
Paraphrase this question: What was the greatest day in you life?,Which will be the best day of your life?
Paraphrase this question: What does relieving illness symptoms through drugs have to do with curing disease?,How is disease stopped through giving drugs to relieve illness symptoms?
Paraphrase this question: How can someone overcome servere social anxiety?,How can I get over social anxiety?
"Paraphrase this question: If God knows everything, God knows the future. If God knows the future, how can there be free will?","If God is omniscient, then do we really have free will?"
Paraphrase this question: What are some mind-blowing technologies tools that exist that most people don't know about?,What are some mind-blowing technologies things that exist that most people don't know about?
Paraphrase this question: How can eating prunes help during a constipation?,Does eating prunes help with constipation?
"Paraphrase this question: I need a term loan, where do I get one?",I need an SME term loan. Where can I get one?
Paraphrase this question: What are the functions of communication?,What is the functions of communication?
Paraphrase this question: Is Hillary Clinton in good health?,What do we know about Hillary Clinton's health?
Paraphrase this question: I am visiting US on a tourist visa. I have a valid driving license from India. Can I drive in US with Indian license?,Can I drive on an Indian driver's license in the US?
Paraphrase this question: How would you feel if the government banned soft drinks?,How would you feel if the government banned soft drinks for minors?
Paraphrase this question: What would happen if Donald Trump died right now? What would happen if Hillary Clinton died right now? Would the other party get the election?,What would happen if Hillary Clinton and Donald Trump both suddenly dropped out right now?
Paraphrase this question: How did Mother Teresa help the poor?,Where and how did Mother Teresa help the poor?
Paraphrase this question: How do I become a math genius?,How can I become a math genius?
Paraphrase this question: What are some of the weirdest things that made you happy?,What are the weirdest things that make you happy?
Paraphrase this question: What is a cumulative distribution function?,What is a Cumulative Distribution Function or CDF in case of random variables?
Paraphrase this question: What is the best way to invest or trade in Bitcoins?,How can one invest in Bitcoins?
Paraphrase this question: How many countries are there?,How many countries exist in the world this time?
Paraphrase this question: How's life like at IIT?,How is life of IIT?
Paraphrase this question: What is the best e-Commerce platform in/for India?,Which is the best e-commerce platform in India?
Paraphrase this question: What will be your new year resolution for 2017 and your plan of execution?,What Is your New year resolutions in 2017?
"Paraphrase this question: ""What are some moments in your life which you can label as """"Thug Life""""?""",What are the best thug life moments of your life?
Paraphrase this question: Could dark matter fill 'empty' space and be displaced by matter? Could the Milky Way's halo be the state of displacement of the dark matter?,Is curved spacetime the state of displacement of the strongly interacting dark matter?
Paraphrase this question: How will the ban of old 500 and 1000 rs notes help in bringing out the black money?,How will banning Rs. 500 and Rs. 1000 notes help in overcoming corruption in India?
Paraphrase this question: How do I apply for pan card (lost)?,"I don't have a proof of address, how do I apply for pan card?"
Paraphrase this question: Who will be the Next PM of India after Modi?,Who will become the next PM of India?
"Paraphrase this question: If Hillary Clinton wins the Presidency, can she pardon herself for previous wrong doings?",Will Hillary Clinton pardon herself if she's indicted for a crime?
Paraphrase this question: What do you do when you got free time?,What do you do when you have free time?
Paraphrase this question: I want to unsubscribe from Quora. How can I?,What does it take to unsubscribe from Quora? I do not want anything from Quora any more.
Paraphrase this question: Has life been found on any other planet?,Is there any evidence of life on other planets?
Paraphrase this question: How do I purchase a One Plus 3T from Amazon using a Bajaj Finserv EMI card?,How can I purchase a One Plus 3T from Amazon using a Bajaj Finserv EMI Card?
Paraphrase this question: I need a free guided meditation of Sadhguru?,Where can I get a free guided meditation from Sadhguru?
Paraphrase this question: Why there are few memes making fun of Narendra Modi?,What are the funniest memes you have come across on Narendra Modi?
Paraphrase this question: How do I stop computer addiction?,How do I stop my computer addiction?
Paraphrase this question: What are few best exercise to lose weight?,What are the best home exercises to lose weight?
Paraphrase this question: What is relation between linear velocity and angular velocity?,What is the relation between linear and angular displacement?
Paraphrase this question: How will Trump's victory effect India?,What will be the effect of Donald Trump becoming the president of US on India?
Paraphrase this question: How long does meth stay in a persons blood?,How long meth stay in system?
Paraphrase this question: What could be the best laptop in budget upto 50k?,Which is the best laptop to buy at price range 40-45000 rs?
Paraphrase this question: What is it like to smoke pot?,What is it like to smoke marijuana?
Paraphrase this question: How can green tea help you reduce belly fat?,Does green tea reduce weight? How does it work? How many glasses should we have daily?
Paraphrase this question: What's your biggest fear?,Which is your biggest fear?
Paraphrase this question: What is the major difference between Windows and Ubuntu?,What is the difference between Ubuntu and windows?
Paraphrase this question: Why has Narendra Modi not appointed any Lokpal yet?,Why has Narendra Modi not been appointed as Chief Information Commissioner and a Lokpal yet? Has he something to hide?
Paraphrase this question: Has there been scientific evidence that ghosts exist?,Has there been any serious scientific study into unexplained phenomenon such as ghosts etc.?
Paraphrase this question: What is are some factors for 3?,What is a factor for 3?
Paraphrase this question: What is the deal with Trump's hair?,What's up with Donald Trump's hair?
Paraphrase this question: What will you do if you become invisible?,What would you do if given the power to become invisible?
Paraphrase this question: Where can I learn WordPress from scratch?,How do I learn WordPress from scratch?
Paraphrase this question: Why do people call Trump racist?,Why do people think Trump is racist?
"Paraphrase this question: Where can I get wide range of floor tile, wall tile and porcelain tiles in Sydney?",Where can I found different types of floor tile collection in Sydney?
Paraphrase this question: How do I repair a cracked Apple iPad screen?,How do I repair a broken Apple iPad screen?
Paraphrase this question: Do Vietnamese have Chinese blood?,How many Vietnamese have Chinese blood?
Paraphrase this question: Why didn't Harry resurrect Snape when he was using the resurrection stone?,Why didn't Severus Snape appear when Harry used the resurrection stone?
Paraphrase this question: How can one prove that there's no god?,How do I prove that there is no god?
"Paraphrase this question: I want to start a food startup in Pune, what would be the business model and target audience?",How do I start a food startup in Pune?
Paraphrase this question: Who are some of great coders from Tamil Nadu?,Are there any competitive coders from Tamil Nadu?
Paraphrase this question: Who will win the next 2019 general elections in India and why?,Who will win 2019 Lok sabha elections?
Paraphrase this question: How does long distance relationship work?,How will long distance relationship work?
Paraphrase this question: Which test IELTS or PTE is better for a person with good knowledge of English?,Is IELTS or pte easier?
Paraphrase this question: Do Oyo rooms allow unmarried couples in Chennai?,Does oyo rooms allow local unmarried couples in Hyderabad?
"Paraphrase this question: Which is the best laptop under 60,000 in india?","What is the best laptop under 60,000 INR?"
Paraphrase this question: How do I get addmision in MIT?,What are the requirements for selection into MIT?
Paraphrase this question: Do atheists fear dying?,Are atheists are afraid of dying?
Paraphrase this question: How has india changed under Narendra Modi?,How has India changed after having Narendra Modi as the PM?
Paraphrase this question: What made Facebook different than the other social networks?,What made Facebook better than MySpace?
Paraphrase this question: What are the best thriller movie in Hollywood?,What are the best Hollywood thriller movies?
Paraphrase this question: Why a large percentage of Muslims in India is against BJP?,Why do Muslims hate the BJP?
Paraphrase this question: What is the fact behind Bermuda triangle?,What actually happens in the Bermuda Triangle?
Paraphrase this question: Is there infinite energy in zero point energy or it is just a mathematical result with no physical existence?,"If there's infinite energy in zero point energy and infinite virtual particles in vacuum energy, is this real or just a mathematical thing?"
Paraphrase this question: What's making your life so difficult?,What makes life difficult?
Paraphrase this question: Why do people write long answers on Quora?,Why do people write such lengthy answers on Quora?
Paraphrase this question: What are some good songs that make you cry?,What songs make you cry and why?
Paraphrase this question: Where can I find a hacker?,Where can I hire a real bad ass hacker?
Paraphrase this question: What are the consequences of cutting a Pitbull ears?,Should I crop my American pitbull terrier's ears?
Paraphrase this question: How long does it take to learn programming (C #)?,How much would it take to learn C#?
Paraphrase this question: Is ISBF really affiliated to University of London?,Is ISBF affiliated to University of London?
Paraphrase this question: Why is education compulsory?,What is the compulsory public education system?
Paraphrase this question: What is an implicit function?,What is Implicit function?
Paraphrase this question: Is it better to run/work out in the morning or in the evening?,Is it better to work out at night or in the morning?
Paraphrase this question: Does iCloud store all of my data used in Safari?,Does iCloud store Safari's history/data?
Paraphrase this question: What is actually a data science?,What is data science
Paraphrase this question: What do you do when you've lost your looks and people keep putting up pictures of you without your consent on social media?,What do I do when I no longer look good in Facebook pictures and people keep putting them up?
Paraphrase this question: Do you hate obese people and why?,Why do people hate fat/obese men and women?
Paraphrase this question: What should I eat to gain weight?,How can gain my weight?
Paraphrase this question: What are some mind blowing technology tools that most people don't know?,What are some mind blowing tools and things that most people don't know?
Paraphrase this question: What is the best way to calculate retention rates?,How do you calculate retention rate?
Paraphrase this question: How can you improve your intelligence?,How can I improve my intelligence?
Paraphrase this question: How can I increase my English fluency?,How can I be a native English speaker?
Paraphrase this question: Is it just as sexist to support Hillary Clinton because she is a woman as to not support her because she is?,"Why is it OK to vote for Hillary Clinton because she is a woman, but not OK to not vote for her because she is a woman?"
Paraphrase this question: How can I improve my english language skills? I am basically from gujarati background.,How can I improve my English pronunciation?
Paraphrase this question: Why does India need a Uniform Civil Code?,Should India have a uniform civil code (personal laws)?
Paraphrase this question: Why do I like girls bare feet?,Why do I find girls bare feet attractive?
Paraphrase this question: How can I get internship at Deutsche bank?,How can I get an internship at Deutsche bank?
Paraphrase this question: What are the best ways to lose weight?,What are the ways of losing weight?
Paraphrase this question: How should I start IAS preparation after graduation?,How do I start preparation for IAS?
Paraphrase this question: What is Ellen DeGeneres' phone number?,What is the phone number for The Ellen DeGeneres Show?
Paraphrase this question: In the future will India and pakistan be together?,Could India and Pakistan unite again?
Paraphrase this question: How can I post on Quora and then add details?,How do I write add on in Quora while asking questions?
Paraphrase this question: how do I delete questions from quora?,How do you delete a question on Quora?
Paraphrase this question: How do I know that someone loves me?,How do I know whether someone really loves me?
Paraphrase this question: How much time will it take to get my Jio Sim activated?,How much time will my Jio sim will take to get activated?
Paraphrase this question: Which are some of the best web data scraping tools?,What are some of the best data scraping tools?
Paraphrase this question: What is it like to work at a startup?,What is it like to work at a startup for the first time?
Paraphrase this question: What are the best ways to communicate with an alien?,How would you communicate with aliens?
Paraphrase this question: How safe is it to take ibuprofen and Tylenol together?,What could go wrong if I take Ibuprofen with Tylenol?
Paraphrase this question: What are some of the most interesting facts about Antisocial Personality Disorder (ASPD)?,What's the most interesting thing about aspd?
"Paraphrase this question: With TWTR below its IPO, is it a good time to join Twitter as an engineer?",Is it a good time to join Twitter as a software engineer?
Paraphrase this question: Why was China never ruled by British or any other colonial powers?,Why have European colonial powers never conquered China like they did with India?
Paraphrase this question: How do I retrieve my Gmail password?,How do I recover my Gmail password?
Paraphrase this question: Why do TV networks compete?,Why do you think TV networks compete?
Paraphrase this question: How can I grow long hair?,How can I grow long hairs?
Paraphrase this question: What do I do when I can't control my anger?,How do I control my emotions and anger?
Paraphrase this question: Why is Donald Trump not racist?,How did Donald Trump become such a racist?
Paraphrase this question: Is learning Chinese difficult?,Is learning Chinese really difficult?
Paraphrase this question: Where are the best coworking office space in Bangalore?,What's the nicest looking coworking space in Bangalore?
Paraphrase this question: How practical is drone delivery project?,Is drone delivery possible?
Paraphrase this question: What are the best online coding bootcamps?,What is the best online coding bootcamp?
Paraphrase this question: What's better at the age of 22? Being single or commitment in a relationship?,What's better at the age of 22 being single or commitment in a relationship?
Paraphrase this question: What are the pulses challenges and prospects of food security?,What are the prospects for pulses for sustainable food security?
Paraphrase this question: I feel tired of life. What can I do?,Why do I feel like I'm tired of life?
Paraphrase this question: Why don't space shuttles create a sonic boom?,Do space shuttles create sonic boom? If no then why?
Paraphrase this question: Which do you think is worse? Saying something and wishing that you hadn't or saying nothing and wishing that you had? Why?,"Which hurts the most? Saying something and wishing you had not, or saying nothing and wishing you had?"
Paraphrase this question: What are you most passionate about and engaged with and why? *,⁠⁠⁠What are you most passionate about?
Paraphrase this question: How has religion developed globally?,Has religion developed globally?
Paraphrase this question: How we can travel faster than light?,Is there any way to travel faster than light speed?
Paraphrase this question: Do you think the Police in the US is too militarized?,Do you believe American police officers are too militarized?
Paraphrase this question: Can I make it to the top IIMs with a year gap after graduation?,Will a gap year after graduation adversely affect my interview at IIMs?
Paraphrase this question: How do you get rid of acne scars on your chest?,How can I get rid of pimples all over my face?
Paraphrase this question: Which is the best Android phone under rs 8000?,Which Android mobile phone is best under Rs.8000 ?
Paraphrase this question: What`s the best way to get rid of porn addiction?,What is the best way to overcome porn and masturbation addiction?
Paraphrase this question: Why can't Pirate Bay just be stopped by raiding their servers?,How do websites like The Pirate Bay survive?
Paraphrase this question: Do many people fake smiles when they get their pictures taken?,Do many people fake smiles when they get their picture taken?
Paraphrase this question: What is the most believable paranormal experience you have had or heard of?,Have you had a paranormal experience? What happened?
Paraphrase this question: What is the best way or resources to learn english like a native speakers?,How can I be a native English speaker?
Paraphrase this question: Where can I get very nice and original flavor cupcakes in Gold Coast?,Where can I found different flavours for cupcakes at Gold Coast?
Paraphrase this question: Will Trump really build that wall and make Mexico pay for it?,How is Trump planning to get Mexico to pay for his supposed wall?
Paraphrase this question: Why can't India enter Pakistan and kill Daood Ibrahim like the US did to Laden?,Why can't India secretly invade Pakistan and kill Dawood like US killed Osama?
Paraphrase this question: I have completed my mechanical engineering with below 60%. What should I do to get a job in good company,I have completed my mechanical engineering with below 60%. What should I do to get a job in good company?
Paraphrase this question: What's your favourite tea?,What is your favourite tea?
Paraphrase this question: Which is the best medical coding training institute in Bangalore?,What are some good coaching institutes for medical coding training in Bangalore?
Paraphrase this question: What is the difference between loving yourself and narcissism?,What is the difference between narcissism and self-love?
Paraphrase this question: I really like this girl. How can I tell if she likes me?,How do I tell if a girl I sit next to likes me?
Paraphrase this question: How are views of blog posts counted on Quora Blogs?,How are Quora views counted?
Paraphrase this question: Is Kejriwal govt better then Sheila Dixit govt?,Is Arvind Kejriwal/AAP's Government better than Sheila Dixit ?
Paraphrase this question: How can I learn at a higher speed?,How should I learn faster?
Paraphrase this question: How can I stop worrying about what other people think of me?,How do I learn not to care about what people think of me?
Paraphrase this question: What the best way to improve English?,I want to improve my English?
Paraphrase this question: How do you immigrate to Canada with your family?,How can I immigrate to Canada from China with my husband together?
Paraphrase this question: Does drinking Diet Coke or Coke Zero help during a diet?,Are there health benefits/risks associated with drinking diet coke or coke zero as opposed to regular coke?
Paraphrase this question: What is isolationism? What are some examples?,What are some examples of isolationism?
Paraphrase this question: How can I improve my vocabulary?,What are some good ways to improve English vocabulary?
Paraphrase this question: Do autistic people know they are autistic?,Do people with autism know that they have autism?
Paraphrase this question: What will happen if Pakistan will be declare as a terrorist state?,What would happen to Pakistan if it is declared as a terrorist nation?
"Paraphrase this question: ""Do caterpillars know that they're going to become butterflies or do they just build the cocoon and think, """"WTF am I doing?""""""","Do caterpillars know that they're gonna be butterflies or do they just build the cocoon and be like, what am I doing?"
Paraphrase this question: How can I increase the traffic on my website?,What is the best way to drive traffic to a website?
Paraphrase this question: How much is the salary of IBPS PO?,What is the salary of IBPS PO in hand?
Paraphrase this question: Which is the oldest religion in world?,Which is the oldest relegion in the world?
"Paraphrase this question: Can we see light, or do we see objects that reflect light?",Can we see light?
"Paraphrase this question: Why should someone buy M3M Urbana Premium, Gurgaon?",Why Should I invest in M3M Urbana Premium Gurgaon?
Paraphrase this question: Which is the best place to eat food in a budget (good food too) if you are in Chennai?,Best places to eat in Chennai?
Paraphrase this question: What do Americans think of China & Mainland Chinese people?,How do Americans think about Chinese?
"Paraphrase this question: Islam: According to islam, are all non-Muslims going to hell?",Are all non-Muslims going to hell according to Islam?
Paraphrase this question: Who would Hillary Clinton and Donald Trump choose as their running mates?,Who will Hillary Clinton and Donald Trump pick as their running mates?
Paraphrase this question: Are there really mermaids?,Is there any real proof of mermaids?
Paraphrase this question: How do I get my teeth white?,How can I make my teeth white?
Paraphrase this question: What is right to life liberty and pursuit of happiness? What are some examples?,What is the right to life liberty and the pursuit of happiness? What are some examples?
Paraphrase this question: What is the best civil engineering company for a job?,What are the best companies for a civil engineer?
Paraphrase this question: How can I be better at drawing?,How do I become better at drawing?
"Paraphrase this question: Can graffiti artists spray graffiti in rockdale county, ga?","Can graffiti artists spray graffiti in Rockdale County, Georgia?"
Paraphrase this question: How can long distance relationships be successful?,Does a long distance relationship really work?
Paraphrase this question: What are some funny student council speech ideas?,What are some funny things to include in a speech for student council?
Paraphrase this question: How can I change my profile pic on Quora?,How can I upload profile picture on Quora?
Paraphrase this question: What are good workouts to lose belly fat?,What are remedies to get rid of belly fat?
Paraphrase this question: What kind of contraceptive measures do female pornstars take in order to avoid getting pregnant?,What precautions do female pornstars have for not getting pregnant while shooting?
Paraphrase this question: Which sites are banned in india?,Which websites are banned in India?
Paraphrase this question: Which is the best PC game that you have played in 2016?,What were the best PC games in 2016?
Paraphrase this question: Which is the best camera phone?,Smartphones: What is the best phone camera at the moment?
Paraphrase this question: Why is Saltwater taffy candy imported in Switzerland?,Why is Saltwater taffy candy imported in the Philippines?
"Paraphrase this question: What is the most awkward situation you have ever been in, involving a girl?",What's the most awkward/embarrassing situation you've ever faced in your life?
Paraphrase this question: What are some good movies like intersteller?,What other movies are like Interstellar?
Paraphrase this question: My questions on Quora all need improving. How do you ask a question on Quora?,Is there a way on Quora to ask why a specific question was marked as needs improvement?
Paraphrase this question: Have you ever looked into a mirror in a dream or OBE?,Have you ever looked into a mirror during an OBE?
Paraphrase this question: Can time travel ever be possible?,Time Travel Is It Possible?
"Paraphrase this question: Of the four Amritapuri sites for the ACM-ICPC, which is the best to visit?","Of the three Amritapuri sites for the ACM-ICPC, which is the best to visit?"
Paraphrase this question: Which is the best website builder online?,Who is the best website builder?
Paraphrase this question: Which is a good laptop costing around INR 60k?,Which is the best laptop available in India in a budget of 60k?
"Paraphrase this question: Does the Chinese really hate the Vietnamese? If yes, why?","Do the Chinese really hate the Vietnamese? If yes, why?"
"Paraphrase this question: I am new to GitHub, so how should I start contributing to open source projects on GitHub?",As a web developer how can I contribute to open source on GitHub?
Paraphrase this question: What are the best Hollywood movies to watch in 2016 (released ones)?,Which is the best Hollywood movies of 2016? Why?
Paraphrase this question: Who are your favorite authors?,Who's your favorite author and why?
"Paraphrase this question: Do abiotic and biotic factors influence the ecosystem? If so, how?",How do biotic and abiotic factors work together to make an ecosystem?
"Paraphrase this question: Who is good for India, Trump or Clinton? And Why?","Who would be better for India, Donald Trump or Hillary Clinton?"
Paraphrase this question: How can I hack someone else's WhatsApp account from a different place?,Is it possible to hack WhatsApp from a laptop through long distance?
Paraphrase this question: What are some of the best camping tools and gadgets?,What are some of the best camping gadgets and tools?
Paraphrase this question: Which book should I refer for GATE (INSTRUMENTATION)?,Which standard book should I use for cracking GATE INSTRUMENTATION?
Paraphrase this question: How do I prepare for UGC NET English Literature exam?,How can I win in UGC Net Exam in English literature?
Paraphrase this question: What will Michelle Obama do after the Obama presidency?,What will Michelle Obama do once she leaves the White House?
Paraphrase this question: What is the best way to forget a girl I had a crush?,How do I forget this girl I had a crush on for 4 years?
Paraphrase this question: How one can control impulsive emotions?,How can I control my emotions?
Paraphrase this question: How can I increase the page rank of my website?,How do I increase the page rank of my blog?
Paraphrase this question: How does one start a hedge Fund?,How do you start your own hedge fund? How do you explain the concept of this business model to prospects who may not know better?
Paraphrase this question: Can people see if you have viewed their instagram?,How can I see who viewed my instagram post?
Paraphrase this question: How shall I prepare for CA final Nov 16 exams,How do I start study for CA exam for Nov 16?
"Paraphrase this question: A and B throws a Fair dice one after another. Whoever throws 6 first wins , What is the probability that A wins ?",A and B throws a Fair dice one after another. Whoever throws 6 first wins. A Start's first. What is the probability that B wins?
Paraphrase this question: Can we really earn money online? How?,What is the best way to earn money online?
Paraphrase this question: Where can I hire a hacker?,How can I hire a hacker?
Paraphrase this question: What is the best thing any one has ever done for you?,What is the best thing someone has done for you?
Paraphrase this question: What is one of the greatest books you have ever read?,Which is the best book you have ever read?
Paraphrase this question: What is the most overrated movie of 2016?,What are some of the most overrated movies in 2016? And why?
Paraphrase this question: How can I make money from Quora?,Are there any ways to make money through Quora?
Paraphrase this question: How do crop circles form?,How do sophisticated patterns of crop circles actually come about?
Paraphrase this question: What would be the best programming language to DIY learn today?,"Which programming language should I learn according to today's market trends? C, C++ or Python?"
Paraphrase this question: What is the importance of The Dreaming in Aboriginal culture?,"In aboriginal culture, why is the Dreaming important?"
"Paraphrase this question: If you knew what you know now, what would you have done to make a change in your life?",What would you do differently if you knew what you know now at any given age?
Paraphrase this question: How can I get girls to like me?,How do I get a girlfriend?
Paraphrase this question: I am 61 and now get bullyed?,Why do I get bullied? I am 61 years old.
Paraphrase this question: How can non-living things give birth to living things?,How does evolution explain how non-living objects became living things? How the step from non-living to living occurred?
Paraphrase this question: Why were credits moved from the beginning of a movie to the end of a movie?,When did movie credits shift to the end of the movie?
"Paraphrase this question: ""Who is the main character in """"The Great Gatsby"""" by F. Scott Fitzgerald?""",Who is the main character in The Great Gatsby: Gatsby or Nick?
Paraphrase this question: What would be your New Year resolutions for 2017?,What is your New Year Resolution for 2017?
Paraphrase this question: What is your view on Bob Dylan winning Nobel prize for literature?,What do you think about Bob Dylan winning the Nobel Literature Prize as a singer and a songwriter?
Paraphrase this question: How did fivethirtyeight.com get its predictions about the 2016 race so wrong?,How did the 2016 US election polls get it so wrong?
Paraphrase this question: Special Relativity: Is length contraction real? If we have 2 observers with different speeds they would see a different length contraction on the same object. How is that possible?,Is length contraction real?
Paraphrase this question: Has life been found on any other planet?,Is there any other life existing except on Earth?
Paraphrase this question: How can overcome the fear flying?,How can I reduce my fear of flying? I have a three-hour flight in a couple of weeks.
Paraphrase this question: Which medical college is better between SMS Jaipur and AIIMS Jodhpur?,Which should I choose SMS Jaipur or AIIMS Jodhpur? Why?
Paraphrase this question: Why does Wikipedia ask for donations rather than having ads?,Why doesn't Wikipedia run optional ads?
Paraphrase this question: Why did Indian government stopped making 1000 rupee note and started making 2000 instead?,Banning 500 and 1000 rupee notes is appreciated but why is the government bringing 500 and 2000 rupees again into the market?
Paraphrase this question: Could people have supernatural powers?,Are supernatural powers possible?
Paraphrase this question: What is the best way to get a postgraduate scholarship in a British university? PS: I'm Syrian.,What is the best way to get a postgraduate scholarship in a British university? PS: I'm Syrian?
Paraphrase this question: What would happen if we supply diesel to a petrol car and vice versa?,What happens when diesel is used in petrol engine?
Paraphrase this question: What are some legit ways to earn money online?,What are the best legitimate methods to making money online?
Paraphrase this question: How can I know that I am in love with a girl?,How can you know if you're in love or just attracted to someone?
Paraphrase this question: What type of diets can you follow to lose 5 pounds in 2 weeks?,What are some alternative ways to lose 5 pounds in 2 weeks?
Paraphrase this question: Which is the most used programming language in the world currently?,Which is the most used computer language?
Paraphrase this question: What programming language is best (easiest) to learn first?,What language should I learn first?
Paraphrase this question: How can one make money online?,What are the various ways through which one can earn money online?
Paraphrase this question: Which is the most loved country in the world?,Which country is the most loved throughout the world?
Paraphrase this question: Why isn't there a video game development company in India that actually makes video games?,Why does India not make video games?
Paraphrase this question: Did Mukesh Ambani already know about the currency change?,Did Mukesh Ambani knew about the currency change?
Paraphrase this question: Where do we go to when we die?,Where do you think we actually go when we die?
Paraphrase this question: Why can some Quora users add more details to questions than me?,Why does Quora discriminate between users allowing different amount of question details for different users?
"Paraphrase this question: Instant support @! 1800:||:2,5.1:||:49.1,9 for Avg Antivirus Tech Support phone number?",What is the customer support phone number for AVG antivirus?
Paraphrase this question: What are the best games you can play by yourself with just pen and paper?,Do any one know games played on paper?
Paraphrase this question: Did Neil Armstrong see aliens on his voyage to the moon?,Did Neil Armstrong really see aliens on the moon? Or is the whole story made up?
Paraphrase this question: What Wifi modem should I buy for BSNL broadband connection at my home?,"I want a WiFi router that can give good performance with my BSNL broadband connection, which router I should prefer?"
Paraphrase this question: Why should I visit Kerala?,What are the best places to visit in Kerala? What is the best way of transportation there?
Paraphrase this question: Is sex that important for life?,What is importance of sex in life?
Paraphrase this question: What does 60% aggregate in PCM mean?,What is mean by aggregate 60% in PCM for merchant navy?
Paraphrase this question: What is a HIDA scan?,What is the function of a HIDA scan?
Paraphrase this question: What is the best picture you have seen ever?,What's the best picture you have ever seen?
Paraphrase this question: How can you lose 5 pounds in 2 weeks safely?,What are some of the best ways to lose 5 pounds in 2 weeks?
Paraphrase this question: What is the best way to be in a calorie deficit and lose weight successfully?,How can you lose weight fast in a healthy way?
Paraphrase this question: How do I get my focus back?,How can I get my focus back?
Paraphrase this question: How do I start with Android development?,What is the best way to get started with learning Android development?
Paraphrase this question: What is the sense of life?,What is the exact meaning of life?
Paraphrase this question: Why am I so awkward around people?,Why I feel so awkward around people and cant even reply?
Paraphrase this question: What do you feel most insecure about?,What are you most insecure about ? Why?
Paraphrase this question: Advantages of Myriad Pro as copy?,What are advantages of Myriad Pro as body copy?
Paraphrase this question: How does 5 stroke engine works?,How does a 5 stroke engine works?
Paraphrase this question: Can you date your female friend?,Would you consider dating your female best friend?
Paraphrase this question: Do Japanese hold grudges on Americans for Hiroshima and Nagasaki?,Why don't the Japanese hate the United States for Hiroshima and Nagasaki?
Paraphrase this question: How can one become a good writer?,"How do I become a good writer, and reader?"
"Paraphrase this question: ""What is the meaning of """"flagged as needing improvement"""" on Quora?""","""How often do you mark questions as """"needing improvement"""" on Quora?"""
"Paraphrase this question: If my brother is vaporizing weed in the house, would I be able to smell it?",If my brother was vaporizing weed in his room would I be able to smell it at all?
Paraphrase this question: What are the things that one should do before they die?,What is the most important thing you want to do before you die?
Paraphrase this question: How does one become a male model?,How can I be a male model?
Paraphrase this question: How can I see who viewed my Instagram video?,What if I have viewed someone's video on Instagram but I'm not following them. Will they be able to see me in their viewer's list?
Paraphrase this question: How can I add text next to an image using HTML?,How can I add text on top of an image using HTML?
Paraphrase this question: How do I know my husband is cheating on me?,How do I know that my husband is cheating?
Paraphrase this question: How do I get out of the friend zone?,"Is it possible to escape the friend zone? If so, how?"
Paraphrase this question: Movie Lists: What are the Ten Hollywood flicks that we should (must) watch before we die?,Which are the top 100 Hollywood movies one should watch before dying?
"Paraphrase this question: What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Nanshan?","What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Yalu River?"
Paraphrase this question: How should I start learning how to code with zero knowledge in programming?,How should you start learning programming?
Paraphrase this question: How do you know if you're unconditionally in love with someone?,How do you know if you're in love with someone and might only be denying the fact to yourself?
Paraphrase this question: Science without religion is lame. Religion without science is blind. What does it mean?,"""What did Einstein mean when he said: """"Science without religion is lame, religion without science is blind""""? And do you agree with him?"""
Paraphrase this question: Is there any relation between gravity and time? If yes then what it is?,What is relation between gravity and time?
"Paraphrase this question: If you could ask God one question upon entering heaven, what would it be and why?",What question would you ask to GOD if He would answer to only one question?
Paraphrase this question: Why does Lady Rainicorn speak a foreign language?,Why does Lady Rainicorn from Adventure Time speak Korean?
Paraphrase this question: How do I cancel Quora?,How can I remove my account from Quora?
Paraphrase this question: Is it true that India is faking a surgical strike?,Has India provided any proof of the surgical strike?
Paraphrase this question: Has Quora turned into a political hack for Clinton?,Does Quora support Hillary Clinton?
Paraphrase this question: What are the employment prospects for an electrical engineer in Silicon Valley?,Is there any jobs in Silicon Valley for electrical engineers?
